# z0 chi2r id
0.9961064 nan "[3, 7, 8, 9]"
0.9954688 nan [5]
0.9956529 nan [6]
2.5912007 nan [10]
3.0601677 nan "[13, 14, 15]"
2.7555644 nan [16]
2.7737354 nan "[18, 19, 20, 46, 47]"
2.8526068 nan "[21, 22, 25, 26, 27]"
4.7597642 nan [23]
2.974655 nan "[28, 29]"
2.9902518 nan "[30, 31]"
3.0599635 nan "[32, 33, 35]"
1.3672655 nan "[37, 38, 39, 45]"
3.3295186 nan "[40, 41]"
1.8800889 nan "[42, 44, 49, 56, 57, 48, 59, 60]"
1.881388950999188 nan [50]
1.8822896237781208 nan "[51, 61]"
1.3671750596970957 nan [64]
1.8800886540798865 nan "[65, 67, 68, 69, 74, 70, 75]"
1.8803027169520816 nan "[66, 72]"
1.88139709325085 nan [71]
