# func series z0 z dz logN dlogN b db btur dbtur resol chi2r snr id
voigt AlIII 2.3888627 2.3888608 0.0000080 11.687 0.039 9.845 1.068 0.0000000e+00 0.0000000e+00 130000.000 1.811 62.051 97.0000000
voigt AlIII 2.3892887 2.3893159 0.0000060 12.129 0.020 14.797 0.859 0.0000000e+00 0.0000000e+00 130000.000 1.811 62.051 98.0000000
voigt AlIII 2.3897755 2.3897721 0.0000021 12.522 0.008 13.219 0.277 0.0000000e+00 0.0000000e+00 130000.000 1.997 57.957 99.0000000
voigt CIV 3.1102842 3.1103268 0.0000196 12.282 0.074 11.460 2.013 0.0000000e+00 0.0000000e+00 130000.000 0.894 58.451 0.0000000
voigt CIV 3.1105910 3.1106118 0.0000358 11.844 0.217 9.400 4.468 0.0000000e+00 0.0000000e+00 130000.000 0.894 58.451 1.0000000
voigt CIV 3.1185824 3.1186066 0.0000035 12.697 0.029 6.931 0.352 0.0000000e+00 0.0000000e+00 130000.000 2.090 53.476 2.0000000
voigt CIV 3.1189087 3.1188861 0.0000062 13.006 0.017 14.358 0.634 0.0000000e+00 0.0000000e+00 130000.000 2.090 53.476 3.0000000
voigt CIV 3.1292995 3.1293547 0.0000026 12.530 0.015 6.190 0.264 0.0000000e+00 0.0000000e+00 130000.000 1.493 58.982 4.0000000
voigt CIV 3.1343238 3.1343126 0.0000086 12.284 0.040 8.536 0.991 0.0000000e+00 0.0000000e+00 130000.000 2.026 57.501 5.0000000
voigt CIV 3.1373784 3.1373607 0.0000096 12.725 0.022 18.114 1.203 0.0000000e+00 0.0000000e+00 140000.000 1.681 53.177 121.0000000
voigt CIV 3.1997713 3.1997492 0.0000114 12.191 0.058 7.992 1.277 0.0000000e+00 0.0000000e+00 130000.000 1.746 50.665 6.0000000
voigt CIV 3.2002725 3.2002570 0.0000653 12.412 0.203 15.546 7.073 0.0000000e+00 0.0000000e+00 130000.000 1.746 50.665 8.0000000
voigt CIV 3.2005004 3.2005253 0.0000126 12.527 0.133 8.683 1.255 0.0000000e+00 0.0000000e+00 130000.000 1.746 50.665 7.0000000
voigt CIV 3.2008041 3.2008387 0.0000103 12.185 0.057 7.425 1.276 0.0000000e+00 0.0000000e+00 130000.000 1.746 50.665 9.0000000
voigt CIV 3.2164180 3.2164113 0.0000200 11.835 0.126 6.017 2.175 0.0000000e+00 0.0000000e+00 130000.000 2.778 46.326 11.0000000
voigt CIV 3.2167521 3.2167700 0.0000020 13.254 0.007 10.264 0.198 0.0000000e+00 0.0000000e+00 130000.000 2.778 46.326 10.0000000
voigt CIV 3.2610571 3.2610757 0.0000058 12.624 0.032 9.245 0.584 0.0000000e+00 0.0000000e+00 130000.000 1.382 44.889 12.0000000
voigt CIV 3.2615280 3.2615138 0.0000102 12.919 0.021 19.956 1.258 0.0000000e+00 0.0000000e+00 130000.000 1.382 44.889 13.0000000
