# z0 chi2r id
3.1102842 nan "[0, 1]"
3.1185824 nan "[2, 3]"
3.1292995 nan [4]
3.1343238 nan [5]
3.1997713 nan "[6, 7, 8, 9]"
3.2167521 nan "[10, 11]"
3.2610571 nan "[12, 13, 14, 30]"
3.2835817 nan "[15, 16, 17, 18, 19]"
3.574321 nan "[21, 22]"
3.8017544 nan [23]
3.8029999 nan [24]
3.8644072 nan "[25, 26, 27, 28, 29, 92, 93]"
3.8885289 nan "[31, 32, 33, 34, 35, 36]"
3.6959002 nan "[37, 38, 39, 40, 41, 42]"
3.6934482 nan "[43, 44, 45]"
3.7527969 nan "[46, 48, 49, 50, 51, 52, 47, 53, 54, 55]"
3.761642 nan "[56, 57]"
3.8644248 nan "[58, 62, 63, 64, 65, 66]"
3.8622661 nan [59]
3.8634274 nan "[60, 61]"
3.8894336 nan "[67, 70]"
3.8894336 nan "[68, 71]"
3.8894336 nan "[69, 72]"
3.8877606 nan [73]
3.8885648 nan "[74, 75, 76, 77, 78]"
3.7516042 nan "[79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91]"
3.9904645 nan "[94, 95]"
4.001319 nan [96]
2.3888627 nan "[97, 98, 99]"
3.7523891 nan "[100, 101, 102, 103, 104, 105, 107, 109, 111, 113, 115, 117, 119]"
3.7539639 nan "[106, 108, 110, 112, 114, 116, 118, 120]"
3.137378426382332 nan [121]
