# z0 chi2r id
3.1666921 nan "[2, 4, 5, 6, 7]"
3.1678306 nan [3]
3.0196453 nan "[8, 10]"
3.0203977 nan [9]
3.0644309 nan "[11, 12]"
3.327022 nan [13]
3.5685894 nan "[15, 16, 20, 22, 17, 18, 19, 21, 23]"
3.6583488 nan "[24, 25]"
3.5572099 nan "[26, 28]"
3.558511 nan "[27, 29]"
1.8723747 nan "[30, 34, 31, 32, 45, 46]"
1.8729034 nan "[33, 35, 36, 37, 47]"
1.8743522 nan [38]
1.8749511 nan "[40, 50, 51, 52]"
1.87612 nan "[41, 42, 53, 54]"
1.87436 nan "[43, 48, 49]"
3.8867625 nan "[55, 56, 57]"
3.9869063 nan "[58, 59, 60]"
3.6582561 nan "[61, 62, 63]"
3.7042871 nan "[64, 65]"
1.8726228 nan "[67, 68, 77, 78]"
1.8733955 nan "[69, 70, 71, 72, 73, 74, 82, 84, 85]"
1.8759297 nan "[75, 76, 79, 80]"
1.8751315 nan [81]
3.3777458 nan "[86, 87]"
3.5696592 nan [89]
3.5700594 nan [90]
3.772716793561492 nan [91]
3.774416713579585 nan "[92, 93, 94]"
